Nottingham,52.940,1.1550
Leeds,53.8008,""
Liverpool,53.4084,2.9916
London,51.5072,0.1276
Manchester,53.4808,2.2426
Birmingham,52.4862,1.8904
Edinburgh,55.9533,3.1883
